1	75	12	93	27	208
20	46	3	57	6	132
65	42	10	59	20	196
75	53	98	23	93	342
14	17	26	1	44	102
18	59	71	93	10	251
90	41	43	33	15	222
73	86	40	17	47	263
8	2	30	53	87	180
88	11	92	71	75	337
64	11	6	76	41	198
‚±‚êˆÈ‰º‚Í•Ê“ú‚ÌŒ‹‰Ê					
62	48	50	48	64	272
92	90	74	94	42	392
26	46	45	90	27	234
80	42	11	20	72	225
26	87	12	22	41	188
6	26	42	10	42	126
70	3	13	79	93	258
86	48	25	60	56	275
71	43	25	18	87	244
6	27	21	33	58	145
84	83	2	98	5	272
77	14	30	27	65	213
44	23	92	30	29	218
61	94	18	60	81	314
38	53	2	45	24	162
58	13	91	2	81	245
19	53	54	78	57	261
27	21	36	9	6	99
45	10	61	67	24	207
